,Unnamed: 0,date,manner_of_death,armed,age,gender,race,city,state,signs_of_mental_illness,threat_level,flee,body_camera,longitude,latitude,is_geocoding_exact,age_binned_11_18,age_binned_11_15,age_binned_7,age_binned_to_60,age_binned_7_diff,armed_3,armed_4_toy,armed_4,armed_5_toy,armed_7,count,month,year,quarter,state_name,PopEstimate2015,PopEstimate2016,PopEstimate2017,PopEstimate2018,PopEstimate2019,PopEstimate2020,PopEstimate2021,city/state,Location,Total Population,Hispanic or Latino,Population of one race:,Population of two or more races:,White Alone and in Combination,Black Alone and in Combination,Asian Alone and in Combination,Other Alone and in Combination,Native Alone and in Combination,NHPI Alone and in Combination,Asian/NHPI Alone and in Combination
41,271,2018-10-05,shot,gun,48,M,White,Klamath Falls,OR,False,attack,Foot,False,-121.919,42.518,True,45-49,45-49,45-54,45-49,40-49,armed,armed,gun,gun,gun,1,10,2018,4,Oregon,4015792,4089976,4143625,4181886,4217737,4241544,4246155,"Klamath Falls, OR","Klamath Falls, OR Micro Area",69413.0,8772.0,56163.0,4478.0,54048.233,731.067,1069.817,869.117,3716.317,206.45,1276.267
42,298,2020-04-10,shot,gun,36,M,White,Klamath Falls,OR,False,attack,Car,False,-121.808,42.281,True,35-39,35-39,35-44,35-39,30-39,armed,armed,gun,gun,gun,1,4,2020,2,Oregon,4015792,4089976,4143625,4181886,4217737,4241544,4246155,"Klamath Falls, OR","Klamath Falls, OR Micro Area",69413.0,8772.0,56163.0,4478.0,54048.233,731.067,1069.817,869.117,3716.317,206.45,1276.267
43,340,2022-08-04,shot,knife,29,M,None,Klamath Falls,OR,False,other,Not fleeing,False,-121.776,42.227,True,25-29,25-29,25-34,25-29,18-29,armed,armed,other weapon,other weapon,knife/cutting instrument,1,8,2022,3,Oregon,4015792,4089976,4143625,4181886,4217737,4241544,4246155,"Klamath Falls, OR","Klamath Falls, OR Micro Area",69413.0,8772.0,56163.0,4478.0,54048.233,731.067,1069.817,869.117,3716.317,206.45,1276.267
44,266,2018-06-23,shot,gun,47,M,White,Coos Bay,OR,False,attack,Not fleeing,False,-124.217,43.358,True,45-49,45-49,45-54,45-49,40-49,armed,armed,gun,gun,gun,1,6,2018,2,Oregon,4015792,4089976,4143625,4181886,4217737,4241544,4246155,"Coos Bay, OR","Coos Bay, OR Micro Area",64929.0,4292.0,56281.0,4356.0,55631.817,426.733,1009.4,756.833,2588.567,223.65,1233.05
45,335,2022-06-14,shot,undetermined,37,M,None,Coos Bay,OR,False,undetermined,unknown,False,-124.213,43.374,True,35-39,35-39,35-44,35-39,30-39,undetermined,undetermined,undetermined,undetermined,undetermined,1,6,2022,2,Oregon,4015792,4089976,4143625,4181886,4217737,4241544,4246155,"Coos Bay, OR","Coos Bay, OR Micro Area",64929.0,4292.0,56281.0,4356.0,55631.817,426.733,1009.4,756.833,2588.567,223.65,1233.05
46,278,2019-03-14,shot,gun,25,M,White,Ontario,OR,True,attack,Car,False,-116.951,44.025,True,18-24,20-24,18-24,18-24,18-29,armed,armed,gun,gun,gun,1,3,2019,1,Oregon,4015792,4089976,4143625,4181886,4217737,4241544,4246155,"Ontario, OR","Ontario, OR-ID Micro Area",56957.0,14588.0,40083.0,2286.0,39320.667,595.167,797.0,573.167,985.333,97.667,894.667
47,309,2021-01-03,shot,knife,49,M,Hispanic,Ontario,OR,False,other,Not fleeing,False,-116.945,44.02,True,45-49,45-49,45-54,45-49,40-49,armed,armed,other weapon,other weapon,knife/cutting instrument,1,1,2021,1,Oregon,4015792,4089976,4143625,4181886,4217737,4241544,4246155,"Ontario, OR","Ontario, OR-ID Micro Area",56957.0,14588.0,40083.0,2286.0,39320.667,595.167,797.0,573.167,985.333,97.667,894.667
48,279,2019-03-16,shot,gun,77,M,None,The Dalles,OR,False,attack,Not fleeing,False,-121.162,45.595,True,Over 65,Over 65,Over 65,Over 60,Over 70,armed,armed,gun,gun,gun,1,3,2019,1,Oregon,4015792,4089976,4143625,4181886,4217737,4241544,4246155,"The Dalles, OR","The Dalles, OR Micro Area",26670.0,5017.0,20344.0,1309.0,19318.017,179.933,340.933,272.167,1300.183,241.767,582.7
49,314,2021-04-03,shot,knife,32,M,White,Corvallis,OR,False,other,unknown,True,-123.26,44.576,True,30-34,30-34,25-34,30-34,30-39,armed,armed,other weapon,other weapon,knife/cutting instrument,1,4,2021,2,Oregon,4015792,4089976,4143625,4181886,4217737,4241544,4246155,"Corvallis, OR","Corvallis, OR Metro Area",95184.0,8524.0,80864.0,5796.0,74974.7,1310.033,7314.033,1207.2,1393.617,460.417,7774.450000000001
50,345,2015-01-03,tasered and shot,unarmed,23,M,Hispanic,Wichita,KS,False,other,Not fleeing,False,-97.281,37.695,True,18-24,20-24,18-24,18-24,18-29,unarmed,unarmed,unarmed,unarmed,unarmed,1,1,2015,1,Kansas,2909011,2910844,2908718,2911359,2913314,2935880,2934582,"Wichita, KS","Wichita, KS Metro Area",647610.0,91517.0,518890.0,37203.0,456843.883,53228.717,26301.383,4829.417,13928.55,961.05,27262.433
