,Location,Total Population,Hispanic or Latino,Population of one race:,Population of two or more races:,White Alone and in Combination,Black Alone and in Combination,Asian Alone and in Combination,Other Alone and in Combination,Native Alone and in Combination,NHPI Alone and in Combination,state,city,Asian/NHPI Alone and in Combination
217,"Daphne-Fairhope-Foley, AL Metro Area",231767.0,12686.0,208713.0,10368.0,191439.667,19174.917,2672.417,1807.167,3773.917,212.917,AL,Daphne-Fairhope-Foley,2885.334
218,"Davenport-Moline-Rock Island, IA-IL Metro Area",384324.0,35572.0,331867.0,16885.0,297884.367,34576.783,10103.867,2656.833,3317.867,212.283,IA,Davenport-Moline-Rock Island,10316.15
219,"Dayton, TN Micro Area",32870.0,1960.0,29609.0,1301.0,29276.833,749.167,240.833,156.667,476.0,10.5,TN,Dayton,251.333
220,"Dayton-Kettering, OH Metro Area",814049.0,28594.0,745217.0,40238.0,611283.517,134685.733,23359.917,6921.55,8472.683,731.6,OH,Dayton-Kettering,24091.517
221,"Decatur, AL Metro Area",156494.0,13272.0,135076.0,8146.0,116861.867,19542.45,1218.283,919.567,4557.533,122.3,AL,Decatur,1340.5829999999999
222,"Decatur, IL Metro Area",103998.0,2733.0,96139.0,5126.0,77518.517,20243.517,1724.35,763.75,957.933,56.933,IL,Decatur,1781.283
223,"Decatur, IN Micro Area",35809.0,1637.0,33520.0,652.0,33389.367,241.867,165.45,122.117,237.867,15.333,IN,Decatur,180.783
224,"Defiance, OH Micro Area",38286.0,3950.0,33189.0,1147.0,32826.483,759.65,171.233,227.317,327.983,23.333,OH,Defiance,194.566
225,"Del Rio, TX Micro Area",47586.0,38207.0,8902.0,477.0,8048.2,593.7,406.033,133.033,149.533,48.5,TX,Del Rio,454.533
226,"Deltona-Daytona Beach-Ormond Beach, FL Metro Area",668921.0,94951.0,547895.0,26075.0,475751.75,69917.25,14896.833,6539.467,6275.567,589.133,FL,Deltona-Daytona Beach-Ormond Beach,15485.966
227,"Deming, NM Micro Area",25427.0,16670.0,8264.0,493.0,7899.333,264.167,207.333,110.833,254.5,20.833,NM,Deming,228.166
228,"Denver-Aurora-Lakewood, CO Metro Area",2963821.0,691711.0,2139831.0,132279.0,1874775.517,174461.35,154594.533,29054.133,32228.233,6996.233,CO,Denver-Aurora-Lakewood,161590.766
229,"DeRidder, LA Micro Area",36549.0,1271.0,33734.0,1544.0,29765.117,4308.2,313.283,200.917,654.617,35.867,LA,DeRidder,349.15000000000003
230,"Des Moines-West Des Moines, IA Metro Area",709466.0,57905.0,624883.0,26678.0,564282.067,43184.067,32829.65,5477.75,5104.15,683.317,IA,Des Moines-West Des Moines,33512.967000000004
231,"Detroit-Warren-Dearborn, MI Metro Area",4392041.0,219953.0,3991312.0,180776.0,2881042.583,983653.25,229213.0,37209.083,38809.917,2160.167,MI,Detroit-Warren-Dearborn,231373.167
232,"Dickinson, ND Micro Area",34591.0,2296.0,31130.0,1165.0,29768.567,1144.667,442.4,205.9,661.733,71.733,ND,Dickinson,514.133
233,"Dixon, IL Micro Area",34145.0,2324.0,30649.0,1172.0,29001.95,2008.783,298.033,253.75,240.367,18.117,IL,Dixon,316.15000000000003
234,"Dodge City, KS Micro Area",34287.0,19666.0,13931.0,690.0,12774.0,992.833,442.5,151.667,244.5,15.5,KS,Dodge City,458.0
235,"Dothan, AL Metro Area",151007.0,6111.0,138939.0,5957.0,104463.7,35793.867,1766.45,841.75,1907.117,123.117,AL,Dothan,1889.567
236,"Douglas, GA Micro Area",51378.0,7478.0,42545.0,1355.0,29566.6,13372.933,364.767,183.033,375.1,37.567,GA,Douglas,402.334
237,"Dover, DE Metro Area",181851.0,13981.0,156943.0,10927.0,109427.25,48439.583,5204.167,1977.8,2601.55,219.65,DE,Dover,5423.817
238,"Dublin, GA Micro Area",65165.0,1711.0,61836.0,1618.0,38460.15,23675.483,608.65,243.7,422.817,43.2,GA,Dublin,651.85
239,"DuBois, PA Micro Area",80562.0,2637.0,75772.0,2153.0,74397.25,1912.417,540.917,491.417,571.833,11.167,PA,DuBois,552.0840000000001
240,"Dubuque, IA Metro Area",99266.0,2977.0,93601.0,2688.0,88631.333,4581.0,1213.417,486.333,541.167,835.75,IA,Dubuque,2049.167
241,"Duluth, MN-WI Metro Area",291638.0,5096.0,272520.0,14022.0,263397.667,6557.917,3193.833,2379.983,10784.167,228.433,WI,Duluth,3422.266
242,"Dumas, TX Micro Area",21358.0,12647.0,8316.0,395.0,6680.45,699.283,1001.617,112.033,211.95,5.667,TX,Dumas,1007.284
243,"Duncan, OK Micro Area",42848.0,3452.0,35616.0,3780.0,34206.333,1061.0,325.667,318.333,3464.333,20.333,OK,Duncan,346.0
244,"Durango, CO Micro Area",55638.0,7008.0,46174.0,2456.0,43568.0,312.05,549.417,708.767,3435.083,56.683,CO,Durango,606.1
245,"Durant, OK Micro Area",46067.0,3428.0,37737.0,4902.0,32393.867,1052.333,362.033,201.033,8595.033,34.7,OK,Durant,396.733
246,"Durham-Chapel Hill, NC Metro Area",649903.0,84694.0,539401.0,25808.0,353230.85,165847.017,34720.017,5605.2,5429.017,376.9,NC,Durham-Chapel Hill,35096.917
247,"Dyersburg, TN Micro Area",36801.0,1303.0,34012.0,1486.0,28977.45,5642.7,242.533,225.25,386.117,23.95,TN,Dyersburg,266.483
248,"Eagle Pass, TX Micro Area",57887.0,54936.0,2834.0,117.0,1619.75,144.25,189.583,130.333,858.25,8.833,TX,Eagle Pass,198.416
249,"Easton, MD Micro Area",37526.0,3352.0,33005.0,1169.0,28601.617,4406.783,620.283,258.7,258.367,28.25,MD,Easton,648.533
250,"East Stroudsburg, PA Metro Area",168327.0,28558.0,133238.0,6531.0,107304.0,24295.5,4487.25,2355.75,1203.5,123.0,PA,East Stroudsburg,4610.25
251,"Eau Claire, WI Metro Area",172007.0,4375.0,161586.0,6046.0,155645.717,2919.717,5889.883,1240.75,1780.3,155.633,WI,Eau Claire,6045.516
252,"Edwards, CO Micro Area",55731.0,16858.0,37542.0,1331.0,36839.1,371.1,884.867,402.233,321.267,54.433,CO,Edwards,939.3
253,"Effingham, IL Micro Area",34668.0,872.0,32845.0,951.0,32818.667,226.0,293.333,150.667,288.167,19.167,IL,Effingham,312.5
254,"El Campo, TX Micro Area",41570.0,16967.0,23936.0,667.0,18446.067,5561.4,185.483,205.25,197.567,7.233,TX,El Campo,192.716
255,"El Centro, CA Metro Area",179702.0,153027.0,25088.0,1587.0,17440.817,4026.533,2482.617,671.65,1893.9,159.483,CA,El Centro,2642.1000000000004
256,"El Dorado, AR Micro Area",39054.0,1754.0,36087.0,1213.0,23467.917,12895.417,305.5,218.25,388.75,24.167,AR,El Dorado,329.66700000000003
257,"Elizabeth City, NC Micro Area",53573.0,2546.0,48845.0,2182.0,31878.583,17458.917,633.5,386.05,606.917,63.033,NC,Elizabeth City,696.533
258,"Elizabethtown-Fort Knox, KY Metro Area",155572.0,8307.0,138434.0,8831.0,124378.817,15494.983,3291.733,1289.733,2174.733,635.0,KY,Elizabethtown-Fort Knox,3926.733
259,"Elk City, OK Micro Area",22410.0,2684.0,18593.0,1133.0,17056.417,1242.083,159.083,95.833,1154.917,17.667,OK,Elk City,176.75
260,"Elkhart-Goshen, IN Metro Area",207047.0,39594.0,159469.0,7984.0,148840.0,12620.667,2685.25,1418.5,1779.083,109.5,IN,Elkhart-Goshen,2794.75
261,"Elkins, WV Micro Area",27932.0,312.0,26695.0,925.0,26486.583,500.833,129.417,183.0,317.417,2.75,WV,Elkins,132.167
262,"Elko, NV Micro Area",55557.0,13770.0,39522.0,2265.0,36788.667,624.5,760.167,508.75,2948.583,156.333,NV,Elko,916.5
263,"Ellensburg, WA Micro Area",44337.0,4594.0,37350.0,2393.0,36455.45,537.25,1210.783,522.867,854.283,162.367,WA,Ellensburg,1373.1499999999999
264,"Elmira, NY Metro Area",84148.0,2938.0,76435.0,4775.0,71860.767,6005.633,1615.467,804.467,886.3,37.367,NY,Elmira,1652.834
265,"El Paso, TX Metro Area",868859.0,717387.0,140763.0,10709.0,103810.183,26386.067,12362.183,3392.65,3661.767,1859.15,TX,El Paso,14221.333
266,"Emporia, KS Micro Area",34751.0,7478.0,26008.0,1265.0,25057.917,763.417,654.0,335.583,444.25,17.833,KS,Emporia,671.833
267,"Enid, OK Metro Area",62846.0,8982.0,49662.0,4202.0,44873.033,2127.367,937.783,393.917,2529.367,3002.533,OK,Enid,3940.316
268,"Enterprise, AL Micro Area",53465.0,4887.0,45951.0,2627.0,36941.9,9061.733,1128.483,366.917,975.65,103.317,AL,Enterprise,1231.8
269,"Erie, PA Metro Area",270876.0,12030.0,246806.0,12040.0,224887.667,22086.25,7086.25,2605.583,2056.75,123.5,PA,Erie,7209.75
270,"Escanaba, MI Micro Area",36903.0,543.0,34595.0,1765.0,34299.717,173.383,225.133,229.45,1413.883,18.433,MI,Escanaba,243.566
271,"Española, NM Micro Area",40363.0,27159.0,12662.0,542.0,6169.25,209.083,269.25,238.917,6297.75,19.75,NM,Española,289.0
272,"Eufaula, AL-GA Micro Area",27458.0,1541.0,25301.0,616.0,12546.9,12929.733,131.9,110.167,193.233,5.067,AL,Eufaula,136.967
273,"Eugene-Springfield, OR Metro Area",382971.0,37780.0,318942.0,26249.0,310919.433,6303.933,12468.45,4966.8,8863.183,1669.2,OR,Eugene-Springfield,14137.650000000001
274,"Eureka-Arcata, CA Micro Area",136463.0,18535.0,107521.0,10407.0,98173.067,2443.733,4403.95,2040.65,10157.4,709.2,CA,Eureka-Arcata,5113.15
275,"Evanston, WY Micro Area",20450.0,1986.0,17827.0,637.0,17755.7,87.7,144.367,145.867,280.2,50.167,WY,Evanston,194.534
276,"Evansville, IN-KY Metro Area",314049.0,9439.0,290882.0,13728.0,268228.883,25283.15,5155.567,2144.583,2974.567,823.25,IN,Evansville,5978.817
277,"Fairbanks, AK Metro Area",95655.0,7320.0,78708.0,9627.0,67569.283,4594.2,3919.367,1577.117,9911.867,763.167,AK,Fairbanks,4682.534000000001
278,"Fairfield, IA Micro Area",15663.0,610.0,14470.0,583.0,13699.367,460.367,551.533,154.833,167.7,19.2,IA,Fairfield,570.7330000000001
279,"Fairmont, MN Micro Area",20025.0,1320.0,18235.0,470.0,18172.667,163.833,136.333,110.0,111.167,11.0,MN,Fairmont,147.333
280,"Fairmont, WV Micro Area",56205.0,875.0,52601.0,2729.0,51532.833,2228.833,359.667,430.0,719.833,58.833,WV,Fairmont,418.5
281,"Fallon, NV Micro Area",25516.0,3586.0,20174.0,1756.0,18690.433,581.017,840.433,309.417,1386.933,121.767,NV,Fallon,962.2
282,"Fargo, ND-MN Metro Area",249843.0,9193.0,230653.0,9997.0,208576.283,17165.45,7711.7,1483.917,5524.2,188.45,MN,Fargo,7900.15
283,"Faribault-Northfield, MN Micro Area",67097.0,6783.0,58162.0,2152.0,52522.417,4607.333,1788.0,743.75,591.667,60.833,MN,Faribault-Northfield,1848.833
284,"Farmington, MO Micro Area",66922.0,1089.0,62923.0,2910.0,60895.583,2862.667,511.917,524.333,997.083,41.417,MO,Farmington,553.334
285,"Farmington, NM Metro Area",121661.0,23630.0,93943.0,4088.0,45421.867,856.583,1064.867,779.7,49786.95,121.033,NM,Farmington,1185.8999999999999
286,"Fayetteville, NC Metro Area",520378.0,66084.0,423603.0,30691.0,242870.5,174924.083,14112.333,5243.117,14671.767,2472.2,NC,Fayetteville,16584.533
287,"Fayetteville-Springdale-Rogers, AR Metro Area",546725.0,96185.0,418292.0,32248.0,381843.033,15327.617,21441.533,3929.45,15987.867,12010.5,AR,Fayetteville-Springdale-Rogers,33452.032999999996
288,"Fergus Falls, MN Micro Area",60081.0,2216.0,55989.0,1876.0,55274.033,985.867,455.2,463.167,653.2,33.533,MN,Fergus Falls,488.733
289,"Fernley, NV Micro Area",59235.0,10339.0,45265.0,3631.0,44076.733,742.733,1231.067,652.15,1918.983,274.333,NV,Fernley,1505.4
290,"Findlay, OH Micro Area",74920.0,4198.0,68188.0,2534.0,66306.167,1769.417,1567.083,483.833,561.5,34.0,OH,Findlay,1601.083
291,"Fitzgerald, GA Micro Area",17194.0,1054.0,15662.0,478.0,9432.667,6346.0,131.333,68.167,159.333,2.5,GA,Fitzgerald,133.833
292,"Flagstaff, AZ Metro Area",145101.0,21719.0,117276.0,6106.0,79695.733,2316.85,3307.017,1188.033,36468.767,405.6,AZ,Flagstaff,3712.6169999999997
293,"Flint, MI Metro Area",406211.0,16259.0,369501.0,20451.0,292919.25,83017.417,4980.333,3409.417,5394.25,231.333,MI,Flint,5211.665999999999
294,"Florence, SC Metro Area",199964.0,5679.0,188714.0,5571.0,105246.983,83648.733,2859.317,858.233,1581.95,89.783,SC,Florence,2949.1
295,"Florence-Muscle Shoals, AL Metro Area",150791.0,4810.0,140195.0,5786.0,122468.833,19339.0,1394.417,717.583,1980.5,80.667,AL,Florence-Muscle Shoals,1475.0839999999998
296,"Fond du Lac, WI Metro Area",104154.0,6717.0,94312.0,3125.0,91653.417,2777.167,1428.417,533.583,970.5,73.917,WI,Fond du Lac,1502.3339999999998
297,"Forest City, NC Micro Area",64444.0,3286.0,58590.0,2568.0,53227.717,6387.05,420.133,380.467,700.217,42.417,NC,Forest City,462.54999999999995
298,"Forrest City, AR Micro Area",23090.0,686.0,21929.0,475.0,9413.667,12616.167,131.667,67.833,167.833,6.833,AR,Forrest City,138.5
299,"Fort Collins, CO Metro Area",359066.0,44662.0,297973.0,16431.0,290452.017,4751.433,10395.767,3948.567,4308.267,547.95,CO,Fort Collins,10943.717
300,"Fort Dodge, IA Micro Area",36999.0,2063.0,33647.0,1289.0,31986.633,2080.467,353.133,194.133,288.967,32.667,IA,Fort Dodge,385.79999999999995
301,"Fort Leonard Wood, MO Micro Area",53955.0,6079.0,44636.0,3240.0,37304.083,6557.417,2182.25,428.25,890.583,513.417,MO,Fort Leonard Wood,2695.667
302,"Fort Madison-Keokuk, IA-IL-MO Micro Area",57809.0,1478.0,54237.0,2094.0,53831.833,1323.833,286.167,270.167,590.5,28.5,IA,Fort Madison-Keokuk,314.667
303,"Fort Morgan, CO Micro Area",29111.0,10566.0,17832.0,713.0,16889.667,987.75,197.667,159.5,298.083,12.333,CO,Fort Morgan,210.0
304,"Fort Payne, AL Micro Area",71608.0,11744.0,56602.0,3262.0,56121.833,1247.167,298.583,267.583,1901.333,27.5,AL,Fort Payne,326.083
305,"Fort Polk South, LA Micro Area",48750.0,4175.0,41833.0,2742.0,34817.783,6787.367,1156.783,438.667,1004.367,370.033,LA,Fort Polk South,1526.8159999999998
306,"Fort Smith, AR-OK Metro Area",244310.0,26112.0,198215.0,19983.0,177582.967,11145.967,7830.05,1561.983,19841.133,235.9,AR,Fort Smith,8065.95
