,date,manner_of_death,armed,age,gender,race,city,state,signs_of_mental_illness,threat_level,flee,body_camera,longitude,latitude,is_geocoding_exact,age_binned_11_18,age_binned_11_15,age_binned_7,age_binned_to_60,age_binned_7_diff,armed_3,armed_4_toy,armed_4,armed_5_toy,armed_7,count,state_name,PopEstimate2020,PopEstimate2021,city/state,Total Population,Hispanic or Latino,Population of one race:,Population of two or more races:,White Alone and in Combination,Black Alone and in Combination,Asian Alone and in Combination,Other Alone and in Combination,Native Alone and in Combination,NHPI Alone and in Combination,Asian/NHPI Alone and in Combination
56,2017-06-24,shot,Unknown,20,M,Black,Kent,WA,FALSE,other,Car,FALSE,-122.209,47.383,TRUE,18-24,15-19,18-24,18-24,18-29,,,,,,1,Washington,7718785,7738692,"Kent, WA",7705281.0,1059213.0,6134954.0,511114.0,5149199.717,350093.05,813065.583,87714.85,164617.233,81377.567,894443.15
57,2017-07-03,shot,gun,53,M,White,Spokane,WA,FALSE,other,Not fleeing,TRUE,-117.371,47.601,TRUE,50-54,50-54,45-54,50-54,50-59,armed,armed,gun,gun,gun,1,Washington,7718785,7738692,"Spokane, WA",7705281.0,1059213.0,6134954.0,511114.0,5149199.717,350093.05,813065.583,87714.85,164617.233,81377.567,894443.15
58,2017-07-04,shot,gun,46,M,White,Richland,WA,FALSE,other,Not fleeing,FALSE,-119.353,46.266,TRUE,45-49,45-49,45-54,45-49,40-49,armed,armed,gun,gun,gun,1,Washington,7718785,7738692,"Richland, WA",7705281.0,1059213.0,6134954.0,511114.0,5149199.717,350093.05,813065.583,87714.85,164617.233,81377.567,894443.15
59,2017-07-08,shot,knife,22,M,Asian,Lacey,WA,TRUE,other,Not fleeing,FALSE,,,TRUE,18-24,20-24,18-24,18-24,18-29,armed,armed,other weapon,other weapon,knife/cutting instrument,1,Washington,7718785,7738692,"Lacey, WA",7705281.0,1059213.0,6134954.0,511114.0,5149199.717,350093.05,813065.583,87714.85,164617.233,81377.567,894443.15
60,2017-07-09,shot,gun,34,M,White,Bainbridge Island,WA,FALSE,attack,Not fleeing,FALSE,,,TRUE,30-34,30-34,25-34,30-34,30-39,armed,armed,gun,gun,gun,1,Washington,7718785,7738692,"Bainbridge Island, WA",7705281.0,1059213.0,6134954.0,511114.0,5149199.717,350093.05,813065.583,87714.85,164617.233,81377.567,894443.15
61,2017-07-27,shot,knife,31,M,White,Wenatchee,WA,FALSE,other,Not fleeing,FALSE,-120.325,47.436,TRUE,30-34,30-34,25-34,30-34,30-39,armed,armed,other weapon,other weapon,knife/cutting instrument,1,Washington,7718785,7738692,"Wenatchee, WA",7705281.0,1059213.0,6134954.0,511114.0,5149199.717,350093.05,813065.583,87714.85,164617.233,81377.567,894443.15
62,2017-08-09,shot,Unknown,20,M,Black,Kent,WA,FALSE,attack,Car,FALSE,-122.202,47.39,TRUE,18-24,15-19,18-24,18-24,18-29,,,,,,1,Washington,7718785,7738692,"Kent, WA",7705281.0,1059213.0,6134954.0,511114.0,5149199.717,350093.05,813065.583,87714.85,164617.233,81377.567,894443.15
63,2017-08-12,shot,knife,35,M,Hispanic,Frederickson,WA,FALSE,attack,Not fleeing,FALSE,-122.355,47.084,TRUE,30-34,30-34,25-34,30-34,30-39,armed,armed,other weapon,other weapon,knife/cutting instrument,1,Washington,7718785,7738692,"Frederickson, WA",7705281.0,1059213.0,6134954.0,511114.0,5149199.717,350093.05,813065.583,87714.85,164617.233,81377.567,894443.15
64,2017-08-13,shot,sword,46,M,Black,Kennewick,WA,TRUE,attack,Not fleeing,FALSE,-119.138,46.212,TRUE,45-49,45-49,45-54,45-49,40-49,armed,armed,other weapon,other weapon,knife/cutting instrument,1,Washington,7718785,7738692,"Kennewick, WA",7705281.0,1059213.0,6134954.0,511114.0,5149199.717,350093.05,813065.583,87714.85,164617.233,81377.567,894443.15
65,2017-09-03,shot,gun,47,M,White,Longview,WA,FALSE,other,Not fleeing,FALSE,-122.965,46.151,TRUE,45-49,45-49,45-54,45-49,40-49,armed,armed,gun,gun,gun,1,Washington,7718785,7738692,"Longview, WA",7705281.0,1059213.0,6134954.0,511114.0,5149199.717,350093.05,813065.583,87714.85,164617.233,81377.567,894443.15
66,2017-09-10,shot,gun,58,M,Hispanic,Tacoma,WA,FALSE,attack,Not fleeing,FALSE,-122.479,47.206,TRUE,55-59,55-59,55-65,55-60,50-59,armed,armed,gun,gun,gun,1,Washington,7718785,7738692,"Tacoma, WA",7705281.0,1059213.0,6134954.0,511114.0,5149199.717,350093.05,813065.583,87714.85,164617.233,81377.567,894443.15
67,2017-09-17,shot,gun,37,M,White,Oak Harbor,WA,TRUE,attack,Not fleeing,FALSE,-122.643,48.293,TRUE,35-39,35-39,35-44,35-39,30-39,armed,armed,gun,gun,gun,1,Washington,7718785,7738692,"Oak Harbor, WA",7705281.0,1059213.0,6134954.0,511114.0,5149199.717,350093.05,813065.583,87714.85,164617.233,81377.567,894443.15
68,2017-09-21,shot,knife,40,M,White,Tacoma,WA,TRUE,other,Not fleeing,FALSE,-122.402,47.186,TRUE,35-39,35-39,35-44,35-39,30-39,armed,armed,other weapon,other weapon,knife/cutting instrument,1,Washington,7718785,7738692,"Tacoma, WA",7705281.0,1059213.0,6134954.0,511114.0,5149199.717,350093.05,813065.583,87714.85,164617.233,81377.567,894443.15
