,date,manner_of_death,armed,age,gender,race,city,state,signs_of_mental_illness,threat_level,flee,body_camera,is_geocoding_exact,age_binned,armed_3,armed_4,armed_7,count,month,year,quarter,state_name,PopEstimate2015,PopEstimate2016,PopEstimate2017,PopEstimate2018,PopEstimate2019,PopEstimate2020,PopEstimate2021,city/state
5381,2019-05-16,shot,gun,37,M,Hispanic,Palm Beach Gardens,FL,False,attack,Not fleeing,False,True,30-44,armed,gun,gun,1,5,2019,2,Florida,20209042,20613477,20963613,21244317,21477737,21569932,21781128,"Palm Beach Gardens, FL"
5382,2019-05-17,shot,knife,39,M,Hispanic,Davie,FL,False,other,Not fleeing,False,True,30-44,armed,other weapon,knife/cutting instrument,1,5,2019,2,Florida,20209042,20613477,20963613,21244317,21477737,21569932,21781128,"Davie, FL"
5383,2019-05-19,shot,gun,45,M,Other,Miami Gardens,FL,False,attack,Not fleeing,False,True,30-44,armed,gun,gun,1,5,2019,2,Florida,20209042,20613477,20963613,21244317,21477737,21569932,21781128,"Miami Gardens, FL"
5384,2019-05-22,shot,gun,37,M,None,Orange Park,FL,False,attack,Not fleeing,False,True,30-44,armed,gun,gun,1,5,2019,2,Florida,20209042,20613477,20963613,21244317,21477737,21569932,21781128,"Orange Park, FL"
5385,2019-05-24,shot,gun,41,M,White,Indian River County,FL,False,attack,Car,False,True,30-44,armed,gun,gun,1,5,2019,2,Florida,20209042,20613477,20963613,21244317,21477737,21569932,21781128,"Indian River County, FL"
5386,2019-05-24,shot,unknown weapon,59,M,Other,Fort Lauderdale,FL,False,other,Other,False,True,45-59,armed,other weapon,other weapon,1,5,2019,2,Florida,20209042,20613477,20963613,21244317,21477737,21569932,21781128,"Fort Lauderdale, FL"
5387,2019-06-04,shot,gun,45,M,White,Indialantic,FL,False,attack,Not fleeing,False,True,30-44,armed,gun,gun,1,6,2019,2,Florida,20209042,20613477,20963613,21244317,21477737,21569932,21781128,"Indialantic, FL"
5388,2019-06-08,shot,gun,39,M,Black,Clearwater,FL,False,other,Not fleeing,False,True,30-44,armed,gun,gun,1,6,2019,2,Florida,20209042,20613477,20963613,21244317,21477737,21569932,21781128,"Clearwater, FL"
5389,2019-06-11,shot,barstool,40,M,Hispanic,Orlando,FL,True,attack,Not fleeing,False,True,30-44,armed,other weapon,other weapon,1,6,2019,2,Florida,20209042,20613477,20963613,21244317,21477737,21569932,21781128,"Orlando, FL"
5390,2019-06-24,shot,gun,61,M,Black,Englewood,FL,False,attack,Not fleeing,False,True,60-75,armed,gun,gun,1,6,2019,2,Florida,20209042,20613477,20963613,21244317,21477737,21569932,21781128,"Englewood, FL"
