,date,manner_of_death,armed,age,gender,race,city,state,signs_of_mental_illness,threat_level,flee,body_camera,longitude,latitude,is_geocoding_exact,age_binned,armed_3,armed_4,armed_7,count,month,year,quarter
2095,2017-02-14,shot,gun,35,M,White,Vincennes,IN,False,other,Other,False,-87.528,38.652,True,30-44,armed,gun,gun,1,2,2017,1
2096,2017-02-14,shot,gun,64,M,White,Shelbyville,IN,False,attack,Not fleeing,False,-85.794,39.498,True,60-75,armed,gun,gun,1,2,2017,1
2097,2017-02-15,shot,gun,24,M,Black,Durham,NC,False,attack,Foot,False,-78.878,36.027,True,18-29,armed,gun,gun,1,2,2017,1
2098,2017-02-15,shot,knife,33,M,White,Cape Girardeau,MO,False,other,Not fleeing,False,-89.575,37.316,True,30-44,armed,other weapon,knife/cutting instrument,1,2,2017,1
2099,2017-02-15,shot,unknown weapon,55,M,Hispanic,Newman,CA,False,attack,Not fleeing,False,-121.013,37.32,True,45-59,armed,other weapon,other weapon,1,2,2017,1
2100,2017-02-16,shot,gun,17,M,Black,Brooklyn,NY,False,attack,Foot,False,-73.876,40.673,True,Under 18,armed,gun,gun,1,2,2017,1
2101,2017-02-16,shot,gun,48,M,Hispanic,San Antonio,TX,False,attack,Not fleeing,False,-98.532,29.366,True,45-59,armed,gun,gun,1,2,2017,1
2102,2017-02-16,shot,gun,21,M,Black,Gardena,CA,False,attack,Foot,False,-118.297,33.903,True,18-29,armed,gun,gun,1,2,2017,1
2103,2017-02-16,shot,gun,22,M,White,Douglas City,CA,False,other,Not fleeing,False,,,True,18-29,armed,gun,gun,1,2,2017,1
2104,2017-02-17,shot,unarmed,30,M,White,Grand Prarie,TX,True,attack,Not fleeing,True,-96.997,32.717,True,18-29,unarmed,unarmed,unarmed,1,2,2017,1
2105,2017-02-17,shot,knife,34,M,White,Tulsa,OK,True,attack,Not fleeing,False,-95.869,36.015,True,30-44,armed,other weapon,knife/cutting instrument,1,2,2017,1
2106,2017-02-17,shot,gun,35,M,Black,Big Lake,AK,False,attack,Not fleeing,False,,,True,30-44,armed,gun,gun,1,2,2017,1
2107,2017-02-17,shot,gun,32,M,White,Oakland,CA,False,attack,Not fleeing,False,-122.154,37.755,True,30-44,armed,gun,gun,1,2,2017,1
2108,2017-02-18,shot,toy weapon,22,M,Black,Portland,ME,True,other,Not fleeing,False,-70.28,43.653,True,18-29,unarmed,unarmed,toy weapon,1,2,2017,1
2109,2017-02-18,shot,gun,46,M,Black,Efland,NC,False,attack,Not fleeing,False,-79.219,36.132,True,45-59,armed,gun,gun,1,2,2017,1
2110,2017-02-19,shot,knife,27,M,Black,Kent,OH,False,attack,Not fleeing,False,-81.387,41.16,True,18-29,armed,other weapon,knife/cutting instrument,1,2,2017,1
2111,2017-02-19,shot,toy weapon,18,M,Hispanic,New York,NY,False,attack,Foot,False,-73.92,40.702,True,Under 18,unarmed,unarmed,toy weapon,1,2,2017,1
2112,2017-02-19,shot,gun,33,M,White,Bull Shoals,AR,False,attack,Not fleeing,False,,,True,30-44,armed,gun,gun,1,2,2017,1
2113,2017-02-19,shot,gun,26,M,Hispanic,Tucson,AZ,False,attack,Not fleeing,False,-110.959,32.074,True,18-29,armed,gun,gun,1,2,2017,1
2114,2017-02-20,shot,unarmed,27,M,White,St. Joseph,MO,False,attack,Not fleeing,False,-94.836,39.765,True,18-29,unarmed,unarmed,unarmed,1,2,2017,1
2115,2017-02-20,tasered and shot,knife,26,M,White,Brooksville,FL,True,attack,Not fleeing,False,-82.336,28.504,True,18-29,armed,other weapon,knife/cutting instrument,1,2,2017,1
2116,2017-02-21,shot,gun,51,M,White,Beaverton,OR,True,other,Not fleeing,False,-122.852,45.505,True,45-59,armed,gun,gun,1,2,2017,1
2117,2017-02-21,shot,gun,63,M,Black,St. Louis,MO,False,attack,Not fleeing,False,-90.232,38.583,True,60-75,armed,gun,gun,1,2,2017,1
2118,2017-02-21,shot,gun,38,M,Hispanic,Roy,UT,False,attack,Not fleeing,True,-112.026,41.184,True,30-44,armed,gun,gun,1,2,2017,1
2119,2017-02-21,shot,gun,25,M,Hispanic,Ogden,UT,False,attack,Not fleeing,True,-111.973,41.225,True,18-29,armed,gun,gun,1,2,2017,1
2120,2017-02-21,shot,gun,39,M,Hispanic,Colorado Springs,CO,False,other,Other,False,-104.776,38.854,True,30-44,armed,gun,gun,1,2,2017,1
2121,2017-02-22,shot,knife,41,M,Black,Conroe,TX,False,attack,Not fleeing,False,-95.493,30.245,True,30-44,armed,other weapon,knife/cutting instrument,1,2,2017,1
2122,2017-02-22,shot,knife,26,M,White,Princeton,WV,True,other,Not fleeing,False,-81.055,37.361,True,18-29,armed,other weapon,knife/cutting instrument,1,2,2017,1
2123,2017-02-22,shot,knife,30,F,Black,Austin,TX,True,other,Car,False,-97.816,30.197,True,18-29,armed,other weapon,knife/cutting instrument,1,2,2017,1
2124,2017-02-23,shot,gun,33,M,Hispanic,Newton,KS,False,attack,Not fleeing,False,-95.161,29.69,True,30-44,armed,gun,gun,1,2,2017,1
