,date,manner_of_death,armed,age,gender,race,city,state,signs_of_mental_illness,threat_level,flee,body_camera,longitude,latitude,is_geocoding_exact,age_binned,armed_3,armed_4,armed_7,count,month,year,quarter,city/state
6153,2021-03-18,shot,gun,79,M,White,Pasadena,MD,True,attack,Not fleeing,False,-76.442,39.138,True,Over 75,armed,gun,gun,1,3,2021,1,"Pasadena, MD"
6154,2021-03-18,shot,gun,46,M,Hispanic,Arlington,TX,False,attack,Not fleeing,False,-97.085,32.708,True,45-59,armed,gun,gun,1,3,2021,1,"Arlington, TX"
6155,2021-03-19,shot,hatchet,33,M,None,Los Angeles,CA,False,attack,Foot,True,-118.274,34.057,True,30-44,armed,other weapon,knife/cutting instrument,1,3,2021,1,"Los Angeles, CA"
6156,2021-03-19,shot,sharp object,29,M,White,Chattanooga,TN,True,other,Not fleeing,False,-85.282,35.11,True,18-29,armed,other weapon,knife/cutting instrument,1,3,2021,1,"Chattanooga, TN"
6157,2021-03-20,shot,gun,41,M,White,Odenville,AL,False,attack,Car,False,-86.407,33.676,True,30-44,armed,gun,gun,1,3,2021,1,"Odenville, AL"
6158,2021-03-20,shot,knife,48,M,White,Centerville,GA,False,attack,Not fleeing,False,-83.699,32.626,True,45-59,armed,other weapon,knife/cutting instrument,1,3,2021,1,"Centerville, GA"
6159,2021-03-20,shot,gun,79,M,White,Hudson,FL,True,other,Not fleeing,True,-82.66,28.398,True,Over 75,armed,gun,gun,1,3,2021,1,"Hudson, FL"
6160,2021-03-21,shot,unarmed,24,M,Hispanic,Sylvania Township,OH,False,other,Foot,False,-83.666,41.711,True,18-29,unarmed,unarmed,unarmed,1,3,2021,1,"Sylvania Township, OH"
6161,2021-03-21,shot,gun,34,M,None,Clear Creek County,CO,False,attack,Not fleeing,False,,,True,30-44,armed,gun,gun,1,3,2021,1,"Clear Creek County, CO"
6162,2021-03-21,shot,gun,31,M,None,Chaves County,NM,False,attack,Not fleeing,False,,,True,30-44,armed,gun,gun,1,3,2021,1,"Chaves County, NM"
6163,2021-03-22,shot,gun,42,M,White,Tucson,AZ,False,attack,Foot,False,,,True,30-44,armed,gun,gun,1,3,2021,1,"Tucson, AZ"
