,Total Population,Hispanic or Latino,Not Hispanic or Latino:,Population of one race:,Population of two or more races:,FRACTotal,White Alone and in Combination,Black Alone and in Combination,Asian Alone and in Combination,Other Alone and in Combination,Native Alone and in Combination,NHPI Alone and in Combination,Calc Total (Not Latino),Asian/NHPI Alone and in Combination
New Hampshire,1377529.0,4.315988991883293,95.68401100811671,91.72300546848741,3.961005539629293,3.961005539629293,89.0632598660355,1.6907012483947708,2.9496148538433675,1.0219143843795666,0.8943913340481398,0.06412932141537492,95.68401100811671,3.0137441752587426
New Jersey,9288994.0,21.558577818006988,78.44142218199302,75.32514285185242,3.1162793301405944,3.1162793301405944,53.140079894550475,12.97623922461356,10.582811766268769,1.2770649114425092,0.41103320768642976,0.05419316666584132,78.44142217122759,10.63700493293461
New Mexico,2117522.0,47.73556071672455,52.26443928327546,49.441942043577356,2.8224972396981003,2.8224972396981003,37.77150050861337,2.1042063789656025,1.957305142520361,0.8056153843974229,9.503421121480674,0.12239070007300987,52.26443923605044,2.079695842593371
New York,20201249.0,19.54350446351114,80.45649553648886,76.88816666731843,3.568328869170416,3.568328869170416,53.83069020633329,14.356887289493834,9.994244578639668,1.5603451895474385,0.6405421615267453,0.07378611589808136,80.45649554143904,10.068030694537748
North Carolina,10439388.0,10.715149202232928,89.28485079776706,85.38756294909243,3.897287848674654,3.897287848674654,62.155103182293836,20.962177734940017,3.599243241078883,0.7556769611398676,1.7035641073978665,0.10908558049571489,89.28485080734619,3.7083288215745984
North Dakota,779094.0,4.288571083848676,95.71142891615132,91.82897057351231,3.8824583426390142,3.8824583426390142,83.47410363832863,3.7686937648088676,1.98314105871692,0.5733047616847261,5.745827846190575,0.16635771806739624,95.7114287877971,2.149498776784316
Ohio,11799448.0,4.4180710826472565,95.58192891735274,91.33120464618345,4.250724271169296,4.250724271169296,77.84405762032257,13.15863928549878,2.8132856977716245,0.7826196615299293,0.9145594522726828,0.06876719995715054,95.58192891735274,2.8820528977287756
Oklahoma,3959353.0,11.919396931771429,88.08060306822857,78.64272268726734,9.437880380961234,9.437880380961234,65.11180910113345,8.116590008519069,2.6086526510770827,0.6800054705907759,11.298916338098675,0.2646295240661795,88.08060309348524,2.8732821751432622
Oregon,4237256.0,13.894770577940063,86.10522942205994,80.00021712164666,6.105012300413287,6.105012300413287,74.51613851039446,2.3250880522677884,5.338402565245055,1.1920383616189345,2.1223243769080744,0.6112375556256219,86.10522942205994,5.9496401208706775
Pennsylvania,13002700.0,8.072284986964245,91.92771501303575,88.45701277426996,3.4707022387657944,3.4707022387657944,75.04689039199552,11.16314675413568,4.212351919216778,0.8504200435294209,0.6008693040676167,0.054036600090750384,91.92771501303575,4.266388519307529
Rhode Island,1097379.0,16.59417575878525,83.40582424121476,78.64447925466042,4.7613449865543265,4.7613449865543265,70.3557932127369,6.178161783668177,3.8651413959990126,2.1050020093331474,0.8320917385880358,0.06963410088948302,83.40582424121476,3.934775496888495
South Carolina,5118425.0,6.893487742811509,93.10651225718848,89.40263850696259,3.7038737502258994,3.7038737502258994,63.757511675955,25.523077255210342,2.028570312156572,0.6678952412118961,1.0319665326736251,0.09749125951830885,93.10651227672575,2.1260615716748803
South Dakota,886667.0,4.3692840716977175,95.63071592830228,91.74740911751536,3.8833068107869138,3.8833068107869138,81.39879458691934,2.3684145231524347,1.7504692291469064,0.5609791500078384,9.45366377681813,0.09839466225764577,95.63071592830228,1.848863891404552
Tennessee,6910840.0,6.933845957944331,93.06615404205567,89.1560215545433,3.9101324875123717,3.9101324875123717,72.71649635934271,16.317757797894323,2.2183928871164724,0.6464882271909058,1.0780503238390702,0.08896844667218456,93.06615404205567,2.307361333788657
Texas,29145505.0,39.25722680049633,60.74277319950367,57.70252737085874,3.0402458286449314,3.0402458286449314,41.099139188015435,12.282154085166821,5.7060629657986714,0.6801767545287001,0.8302895523683671,0.144950653625662,60.74277319950367,5.851013619424334
Utah,3271616.0,15.066315851249046,84.93368414875096,81.25195621980086,3.681727928950097,3.681727928950097,77.06226219703045,1.438520504851425,2.9833661102036424,0.7484716115827774,1.3260745454234237,1.3749892102251609,84.9336841793169,4.358355320428804
Vermont,643077.0,2.4109088025228704,97.58909119747713,92.9941515557235,4.594939641753632,4.594939641753632,91.358748641298,1.6784666532934627,2.111035381455098,1.0279224727365464,1.3564860817600382,0.056431811431601496,97.58909104197475,2.1674671928866993
Virginia,8631393.0,10.528416444483527,89.47158355551647,84.78045200815211,4.691131547364371,4.691131547364371,60.662109430076924,19.157508724258065,7.796126106180081,0.8842647646793513,0.8363883674396474,0.13518617446801462,89.47158356710209,7.931312280648095
Washington,7705281.0,13.746584972047094,86.25341502795291,79.62012027854662,6.633294749406284,6.633294749406284,66.82689076491825,4.543546821978329,10.552056219623918,1.1383731495321197,2.136420891074576,1.0561271808257218,86.25341502795291,11.60818340044964
West Virginia,1793716.0,1.941611715567013,98.05838828443298,94.03684864270599,4.021539641727006,4.021539641727006,91.05692690481658,4.232857932916916,1.0101720116227986,0.6455732122587968,1.0626515011294988,0.05020677743856888,98.05838834018317,1.0603787890613674
Wisconsin,5893718.0,7.58926708064417,92.41073291935584,88.9537300563074,3.4570028630484186,3.4570028630484186,80.25019576776494,6.73771972123539,3.2646944254882913,0.6937397920972805,1.3992050518874504,0.06517816088248539,92.41073291935584,3.329872586370776
Wyoming,576851.0,10.235918807456343,89.76408119254366,85.66007513205317,4.104006060490491,4.104006060490491,83.39072533461848,1.1137104728950802,1.1771063931587187,0.9490549552657445,2.9773112987582584,0.1561725644923906,89.76408101918867,1.3332789576511093
